"","kind","spec","prolific_id","response","response_corrected"
"1","natural kind","water","5a01f46c074b19000125133c","Is not","is_not"
"2","natural kind","water","60c1e5f03dac31bd0fb91294","Is","is"
"3","natural kind","water","61366473fa6785da70d75351","Is not","is_not"
"4","natural kind","water","5b4917b046cf8d0001ae4383","Both","both"
"5","natural kind","water","5bd0c54825db7b00017865f2","Is not","is_not"
"6","natural kind","water","60af4c6b1eabd1783a3078b5","Is not","is_not"
"7","natural kind","water","60080f67b339b627a9b7c69e","Both","both"
"8","natural kind","water","5982ffdb06cd1f0001f8dda6","Both","both"
"9","natural kind","water","609d6d0e71d9db2825a6cc42","Is not","is_not"
"10","natural kind","water","5e904b121b79af01dbfa37cf","Is not","is_not"
"11","natural kind","water","5dcfdf449b61040e3b923621","Is not","is_not"
"12","natural kind","water","610510964bd201870290e2fe","Is","is"
"13","natural kind","water","60eda07f6d6e3abf23a92951","Is not","is_not"
"14","natural kind","water","5cdb487aa63838000162bc73","Both","both"
"15","natural kind","water","6127c89a145f6be7b6527daa","Both","both"
"16","natural kind","water","5dd43922ecd14c4370d02a2e","Is not","is_not"
"17","natural kind","water","60dd24581d271ea1af032339","Is not","is_not"
"18","natural kind","water","5f5b89648901d82d98519918","Is not","is_not"
"19","natural kind","water","59c558114374e1000125c522","Is not","is_not"
"20","natural kind","water","611bdc0a559f692248bf1c54","Both","both"
"21","natural kind","water","62e50a9b4ea7a8e74bbbb158","Is not","is_not"
"22","natural kind","water","59c95afe1e901d0001df8c79","Both","both"
"23","natural kind","water","5a3fa72c1ba4960001029909","Is not","is_not"
"24","natural kind","water","5cc076320004360001ed90dc","Is not","is_not"
"25","natural kind","water","5fcad787ca46657c3d442d57","Is not","is_not"
"26","natural kind","water","5d4892d03eb6bf0018399498","Is not","is_not"
"27","natural kind","water","62a766c5899e18df9ca94d67","Both","both"
"28","natural kind","water","606ca47dac67cbdff9177d6b","Both","both"
"29","natural kind","water","62d2b86ed12d650ea7268dd7","Is not","is_not"
"30","natural kind","water","62ebd8c191cf8e7fe54af5cf","Is not","is_not"
"31","natural kind","water","5f3fad86c15d910261828ca9","Is not","is_not"
"32","natural kind","water","5ffee833adbaca5dec7426c0","Is not","is_not"
"33","natural kind","water","59db44e63e5ea00001e1d163","Is not","is_not"
"34","natural kind","water","60b62b9daab749081c5b88f0","Is not","is_not"
"35","natural kind","water","60fbc21303c4bb03e3ba72b3","Both","both"
"36","natural kind","water","5de7baf95d4f97726bc2b11e","Is not","is_not"
"37","natural kind","water","5fdca8f20f62f41ef567186c","Is not","is_not"
"38","natural kind","water","608b2f8c02e302a56addb5e4","Is not","is_not"
"39","natural kind","water","60c7661114d630707fb8bd8a","Both","both"
"40","natural kind","water","5dcc6f91e5e18690a20e74d1","Both","both"
"41","natural kind","water","5f3eb7a8f14d1312518c5776","Is not","is_not"
"42","natural kind","water","60fd20dbf7e3865f1e6aa65b","Is not","is_not"
"43","natural kind","water","6050cb50a965d6a6eb12361e","Both","both"
"44","natural kind","water","60af52990d170be944d0df18","Both","both"
"45","natural kind","water","62e970edb3e1750e9c322417@email.prolific.co","Both","both"
"46","natural kind","water","5f511cdb275a742f89f0b9bf","Is not","is_not"
"47","natural kind","water","60abfd1c0288766d6053de0d","Is not","is_not"
"48","natural kind","water","5fa154fd4cbe97227182aff7","Both","both"
"49","natural kind","water","60a451dd76cf19ed275d3f49","Is","is"
"50","natural kind","water","598b108e504c5200011964a1","Is not","is_not"
"51","natural kind","water","605c35e1011fef6022b70a3a","Is","is"
"52","control subjective adjective","spicy","5a01f46c074b19000125133c","Is not","is_not"
"53","control subjective adjective","spicy","60c1e5f03dac31bd0fb91294","Is","is"
"54","control subjective adjective","spicy","61366473fa6785da70d75351","Both","both"
"55","control subjective adjective","spicy","5b4917b046cf8d0001ae4383","Both","both"
"56","control subjective adjective","spicy","5bd0c54825db7b00017865f2","Both","both"
"57","control subjective adjective","spicy","60af4c6b1eabd1783a3078b5","Is","is"
"58","control subjective adjective","spicy","60080f67b339b627a9b7c69e","Is","is"
"59","control subjective adjective","spicy","5982ffdb06cd1f0001f8dda6","Is","is"
"60","control subjective adjective","spicy","609d6d0e71d9db2825a6cc42","Both","both"
"61","control subjective adjective","spicy","5e904b121b79af01dbfa37cf","Both","both"
"62","control subjective adjective","spicy","5dcfdf449b61040e3b923621","Both","both"
"63","control subjective adjective","spicy","610510964bd201870290e2fe","Is","is"
"64","control subjective adjective","spicy","60eda07f6d6e3abf23a92951","Both","both"
"65","control subjective adjective","spicy","5cdb487aa63838000162bc73","Both","both"
"66","control subjective adjective","spicy","6127c89a145f6be7b6527daa","Both","both"
"67","control subjective adjective","spicy","5dd43922ecd14c4370d02a2e","Both","both"
"68","control subjective adjective","spicy","60dd24581d271ea1af032339","Both","both"
"69","control subjective adjective","spicy","5f5b89648901d82d98519918","Both","both"
"70","control subjective adjective","spicy","59c558114374e1000125c522","Both","both"
"71","control subjective adjective","spicy","611bdc0a559f692248bf1c54","Both","both"
"72","control subjective adjective","spicy","62e50a9b4ea7a8e74bbbb158","Both","both"
"73","control subjective adjective","spicy","59c95afe1e901d0001df8c79","Is","is"
"74","control subjective adjective","spicy","5a3fa72c1ba4960001029909","Both","both"
"75","control subjective adjective","spicy","5cc076320004360001ed90dc","Both","both"
"76","control subjective adjective","spicy","5fcad787ca46657c3d442d57","Both","both"
"77","control subjective adjective","spicy","5d4892d03eb6bf0018399498","Both","both"
"78","control subjective adjective","spicy","62a766c5899e18df9ca94d67","Both","both"
"79","control subjective adjective","spicy","606ca47dac67cbdff9177d6b","Both","both"
"80","control subjective adjective","spicy","62d2b86ed12d650ea7268dd7","Both","both"
"81","control subjective adjective","spicy","62ebd8c191cf8e7fe54af5cf","Both","both"
"82","control subjective adjective","spicy","5f3fad86c15d910261828ca9","Both","both"
"83","control subjective adjective","spicy","5ffee833adbaca5dec7426c0","Both","both"
"84","control subjective adjective","spicy","59db44e63e5ea00001e1d163","Both","both"
"85","control subjective adjective","spicy","60b62b9daab749081c5b88f0","Both","both"
"86","control subjective adjective","spicy","60fbc21303c4bb03e3ba72b3","Both","both"
"87","control subjective adjective","spicy","5de7baf95d4f97726bc2b11e","Both","both"
"88","control subjective adjective","spicy","5fdca8f20f62f41ef567186c","Both","both"
"89","control subjective adjective","spicy","608b2f8c02e302a56addb5e4","Both","both"
"90","control subjective adjective","spicy","60c7661114d630707fb8bd8a","Both","both"
"91","control subjective adjective","spicy","5dcc6f91e5e18690a20e74d1","Both","both"
"92","control subjective adjective","spicy","5f3eb7a8f14d1312518c5776","Both","both"
"93","control subjective adjective","spicy","60fd20dbf7e3865f1e6aa65b","Both","both"
"94","control subjective adjective","spicy","6050cb50a965d6a6eb12361e","Both","both"
"95","control subjective adjective","spicy","60af52990d170be944d0df18","Is","is"
"96","control subjective adjective","spicy","62e970edb3e1750e9c322417@email.prolific.co","Both","both"
"97","control subjective adjective","spicy","5f511cdb275a742f89f0b9bf","Both","both"
"98","control subjective adjective","spicy","60abfd1c0288766d6053de0d","Is","is"
"99","control subjective adjective","spicy","5fa154fd4cbe97227182aff7","Both","both"
"100","control subjective adjective","spicy","60a451dd76cf19ed275d3f49","Is","is"
"101","control subjective adjective","spicy","598b108e504c5200011964a1","Both","both"
"102","control subjective adjective","spicy","605c35e1011fef6022b70a3a","Both","both"
"103","abstract concept","heavy metal","5a01f46c074b19000125133c","Is","is"
"104","abstract concept","heavy metal","60c1e5f03dac31bd0fb91294","Both","both"
"105","abstract concept","heavy metal","61366473fa6785da70d75351","Both","both"
"106","abstract concept","heavy metal","5b4917b046cf8d0001ae4383","Both","both"
"107","abstract concept","heavy metal","5bd0c54825db7b00017865f2","Both","both"
"108","abstract concept","heavy metal","60af4c6b1eabd1783a3078b5","Is","is"
"109","abstract concept","heavy metal","60080f67b339b627a9b7c69e","Is","is"
"110","abstract concept","heavy metal","5982ffdb06cd1f0001f8dda6","Both","both"
"111","abstract concept","heavy metal","609d6d0e71d9db2825a6cc42","Both","both"
"112","abstract concept","heavy metal","5e904b121b79af01dbfa37cf","Is","is"
"113","abstract concept","heavy metal","5dcfdf449b61040e3b923621","Is","is"
